Profile Name,job_id,Matched Themes,Matched Subthemes,Example Sentence
Cloud-Native Delivery Engineer,30,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Cloud Platforms and Services; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance",About Us  Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter.
Cloud-Native Delivery Engineer,35,"Application and Web Development; Cloud, DevOps, and Security; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Cloud Platforms and Services; Documentation and Communication; Education, Degrees, and Certifications; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Mobile Development; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Development Process and Practices","At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells."
Cloud-Native Delivery Engineer,36,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Cloud Platforms and Services; Documentation and Communication; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",About Us  Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter.
Cloud-Native Delivery Engineer,37,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Backend and API Development; Cloud Platforms and Services; Data Engineering and Big Data; Domain and Industry Knowledge; General Professional Skills and Soft Skills; Graphics, Game, and Multimedia; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices",Overview  Join our 3D development group in creating the world’s best geospatial mapping and data analysis platform.
Cloud-Native Delivery Engineer,40,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Cloud Platforms and Services; Documentation and Communication; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Graphics, Game, and Multimedia; Monitoring, Observability, and SRE; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","Skydio is the leading US drone company and the world leader in autonomous flight, the key technology for the future of drones and aerial mobility."
Cloud-Native Delivery Engineer,41,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Cloud Platforms and Services; Data Platforms and Databases; DevOps and CI/CD; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Microsoft .NET Development; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration","Holman is a family-owned, global automotive services organization anchored by our deeply rooted core values and principles that have enabled us to continue Driving What’s Right throughout the last century."
Cloud-Native Delivery Engineer,44,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Business and Product Skills; Cloud Platforms and Services; Documentation and Communication; Domain and Industry Knowledge; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",About Rivian  Rivian is on a mission to keep the world adventurous forever.
Cloud-Native Delivery Engineer,50,"Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Cloud Platforms and Services; Data Engineering and Big Data; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Scripting and Automation Tools; Software Architecture and System Design",Joining NVIDIA's DGX Cloud AI Efficiency Team means contributing to the infrastructure that powers our innovative AI research.
Cloud-Native Delivery Engineer,53,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Backend and API Development; Business and Product Skills; Containers and Orchestration; Data Engineering and Big Data; Data Platforms and Databases; DevOps and CI/CD; Documentation and Communication; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance","About Rewards Network  For 40 years, Rewards Network has been helping restaurants grow revenue, increase traffic, and boost customer engagement through innovative financial, marketing services, and premier dining rewards programs."
AI/Data-Adjacent Developer,2,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",JT4 SkillBridge Program - Programmer Internship  About SkillBridge  JT4 is partnered with the U.S.
AI/Data-Adjacent Developer,3,"Application and Web Development; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Backend and API Development; Data Engineering and Big Data; Domain and Industry Knowledge; Embedded, Hardware, and IoT; Frontend Web Development; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance; UI/UX Design and Accessibility",Anduril Industries is a defense technology company with a mission to transform U.S.
AI/Data-Adjacent Developer,4,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Containers and Orchestration; Data Platforms and Databases; DevOps and CI/CD; Domain and Industry Knowledge; Education, Degrees, and Certifications; Frontend Web Development; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices","At Vast, our mission is to contribute to a future where billions of people are living and thriving in space."
AI/Data-Adjacent Developer,5,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Analytics and Business Intelligence; Backend and API Development; Business and Product Skills; Data Platforms and Databases; DevOps and CI/CD; General Professional Skills and Soft Skills; Project Management and Agile Practices; Software Development Process and Practices; Testing and Quality Assurance,"At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more."
AI/Data-Adjacent Developer,6,"Application and Web Development; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",AI/ML and LLMs; Backend and API Development; Business and Product Skills; Data Platforms and Databases; Documentation and Communication; Frontend Web Development; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Project Management and Agile Practices; Software Development Process and Practices; UI/UX Design and Accessibility,"[Quora is a privately held, 'remote-first' company."
AI/Data-Adjacent Developer,7,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Cloud Platforms and Services; Containers and Orchestration; Data Platforms and Databases; DevOps and CI/CD; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Scripting and Automation Tools; Security, Authentication, and Compliance; Systems, Networking, and Administration","From Fivetran’s founding until now, our mission has remained the same: to make access to data as simple and reliable as electricity."
AI/Data-Adjacent Developer,9,"Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Analytics and Business Intelligence; Business and Product Skills; Documentation and Communication; General Professional Skills and Soft Skills; Software Architecture and System Design; Software Development Process and Practices,"Overview  Systems Planning and Analysis, Inc."
AI/Data-Adjacent Developer,13,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Data Engineering and Big Data; Data Platforms and Databases; DevOps and CI/CD; Domain and Industry Knowledge; E-commerce, CRM, ERP, and Enterprise Platforms; General Professional Skills and Soft Skills; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","At BBH, Partnership is more than a form of ownership—it’s our approach to business and relationships."
AI/Data-Adjacent Developer,14,"Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Business and Product Skills; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance","Overview  Carollo Engineers is an internationally recognized civil and environmental engineering firm that specializes in the planning, design, and construction of water and wastewater facilities."
AI/Data-Adjacent Developer,15,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Business and Product Skills; Data Engineering and Big Data; DevOps and CI/CD; Domain and Industry Knowledge; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance; UI/UX Design and Accessibility","About Tubi:  Boldly built for every fandom, Tubi is a free streaming service that entertains over 100 million monthly active users."
AI/Data-Adjacent Developer,16,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Containers and Orchestration; DevOps and CI/CD; Documentation and Communication; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Scripting and Automation Tools; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",About Etched  Etched is building the world’s first AI inference system purpose-built for transformers - delivering over 10x higher performance and dramatically lower cost and latency than a B200.
AI/Data-Adjacent Developer,17,"Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Business and Product Skills; DevOps and CI/CD; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Programming Languages and Paradigms","Turning Space into a Transportation Layer for Earth  Who We Are  Eras of humanity can often be defined by a dominant transportation mode - horse-drawn chariots, ocean-going boats, or aircraft."
AI/Data-Adjacent Developer,18,"Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Business and Product Skills; Data Engineering and Big Data; Documentation and Communication; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",Anduril Industries is a defense technology company with a mission to transform U.S.
AI/Data-Adjacent Developer,19,"Application and Web Development; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Business and Product Skills; Data Engineering and Big Data; Documentation and Communication; E-commerce, CRM, ERP, and Enterprise Platforms; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices",Employment Type  Full-time  Exempt
AI/Data-Adjacent Developer,20,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Cloud Platforms and Services; Containers and Orchestration; Data Engineering and Big Data; DevOps and CI/CD; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","What You'll Do:  We are seeking a highly skilled and experienced Infrastructure Middleware Engineer with deep expertise in Kafka administration, infrastructure as code (IaC), cloud automation, container orchestration and CI/CD pipelines."
AI/Data-Adjacent Developer,22,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Backend and API Development; Cloud Platforms and Services; DevOps and CI/CD; Embedded, Hardware, and IoT; Frontend Web Development; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",Anduril Industries is a defense technology company with a mission to transform U.S.
AI/Data-Adjacent Developer,23,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",AI/ML and LLMs; Backend and API Development; Business and Product Skills; Data Engineering and Big Data; DevOps and CI/CD; Documentation and Communication; General Professional Skills and Soft Skills; Mobile Development; Programming Languages and Paradigms; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; UI/UX Design and Accessibility,About xAI xAI’s mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge.
AI/Data-Adjacent Developer,25,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Backend and API Development; Business and Product Skills; Cloud Platforms and Services; Data Engineering and Big Data; DevOps and CI/CD; Documentation and Communication; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Mobile Development; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Testing and Quality Assurance; UI/UX Design and Accessibility",About Us  Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter.
AI/Data-Adjacent Developer,27,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Cloud Platforms and Services; Containers and Orchestration; DevOps and CI/CD; Documentation and Communication; Domain and Industry Knowledge; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Systems, Networking, and Administration; Testing and Quality Assurance; UI/UX Design and Accessibility",Job Description:  Type of Requisition:  Pipeline  Clearance Level Must Currently Possess:  None  Clearance Level Must Be Able To Obtain:  Top Secret SCI + Polygraph  Public Trust/Other Required:  None  Job Family:  IT Infrastructure
AI/Data-Adjacent Developer,28,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Data Platforms and Databases; DevOps and CI/CD; Documentation and Communication; Domain and Industry Knowledge; Education, Degrees, and Certifications; Frontend Web Development; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance; UI/UX Design and Accessibility","Company  Cogent Communications is a global, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI."
AI/Data-Adjacent Developer,30,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Cloud Platforms and Services; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance",About Us  Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter.
AI/Data-Adjacent Developer,32,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; UI/UX Design and Accessibility","About The Team  Our mission at OpenAI is to discover and enact the path to safe, beneficial AGI."
AI/Data-Adjacent Developer,33,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; UI/UX Design and Accessibility",About The Team  The Youth Well-Being product team is part of the Integrity pillar at OpenAI
AI/Data-Adjacent Developer,34,"Application and Web Development; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Data Platforms and Databases; Documentation and Communication; General Professional Skills and Soft Skills; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",We believe that the way people interact with their finances will drastically improve in the next few years.
AI/Data-Adjacent Developer,36,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Cloud Platforms and Services; Documentation and Communication; Domain and Industry Knowledge; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",About Us  Rivian and Volkswagen Group Technologies is a joint venture between two industry leaders with a clear vision for automotive’s next chapter.
Enterprise Systems Engineer,13,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Data Engineering and Big Data; Data Platforms and Databases; DevOps and CI/CD; Domain and Industry Knowledge; E-commerce, CRM, ERP, and Enterprise Platforms; General Professional Skills and Soft Skills; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","At BBH, Partnership is more than a form of ownership—it’s our approach to business and relationships."
Enterprise Systems Engineer,35,"Application and Web Development; Cloud, DevOps, and Security; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Cloud Platforms and Services; Documentation and Communication; Education, Degrees, and Certifications; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Mobile Development; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Development Process and Practices","At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells."
Enterprise Systems Engineer,41,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Cloud Platforms and Services; Data Platforms and Databases; DevOps and CI/CD; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Microsoft .NET Development; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration","Holman is a family-owned, global automotive services organization anchored by our deeply rooted core values and principles that have enabled us to continue Driving What’s Right throughout the last century."
Enterprise Systems Engineer,46,"Application and Web Development; Cloud, DevOps, and Security; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Domain and Industry Knowledge; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Mobile Development; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","Overview  Are you a geographer, GIS/data analyst, engineer or computer scientist who has a passion for building high-quality commercial software?"
Enterprise Systems Engineer,62,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Backend and API Development; Business and Product Skills; Cloud Platforms and Services; Containers and Orchestration; DevOps and CI/CD; Documentation and Communication; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Programming Languages and Paradigms; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance","Summary of Business Unit/Function:  One Policy Engine (OPE) strives to provide standardized, valuable services to improve the developer experience and cloud enablement solutions."
Enterprise Systems Engineer,63,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Backend and API Development; Business and Product Skills; Data Platforms and Databases; DevOps and CI/CD; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Programming Languages and Paradigms; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; UI/UX Design and Accessibility,"Company Description  Publicis Media Exchange (PMX) is the global media platform for Publicis Groupe [Euronext Paris FR0000130577, CAC 40]."
Enterprise Systems Engineer,106,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Backend and API Development; Business and Product Skills; Data Platforms and Databases; DevOps and CI/CD; Frontend Web Development; General Professional Skills and Soft Skills; Microsoft .NET Development; Programming Languages and Paradigms; Project Management and Agile Practices; Software Development Process and Practices; UI/UX Design and Accessibility,About The Job Full Stack Developer  ESSENTIAL DUTIES & RESPONSIBILITIES  The Full Stack Developer role is responsible for the full lifecycle of the company's web-based applications
